nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1276;;;1238,05
;;;;;;;;;87;;;238,78
0;270000;270000;24300;2883050;4206;266868;1262;1870;1262;0,47%;266868;922,36203599
1;270000;270000;24300;2883050;4206;266881;1249;1870;1249;0,47%;266881;924,694859028
2;270000;270000;24300;2883050;4206;266946;1184;1870;1184;0,44%;266946;1076,54717517
3;270000;270000;24300;2883050;4206;266893;1237;1870;1237;0,46%;266893;1076,32836604
4;270000;270000;24300;2883050;4206;266873;1257;1870;1257;0,47%;266873;1071,19420791
5;270000;270000;24300;2883050;4206;266837;1293;1870;1293;0,48%;266837;1124,02860498
6;270000;270000;24300;2883050;4206;266936;1194;1870;1194;0,45%;266936;1075,90464687
7;270000;270000;24300;2883050;4206;266859;1271;1870;1271;0,47%;266859;930,088450909
8;270000;270000;24300;2883050;4206;266922;1208;1870;1208;0,45%;266922;928,930136919
9;270000;270000;24300;2883050;4206;266867;1263;1870;1263;0,47%;266867;1093,72950506
10;270000;270000;24300;2883050;4206;266892;1238;1870;1238;0,46%;266892;1811,7977581
11;270000;270000;24300;2883050;4206;266706;1424;1870;1424;0,53%;266706;1672,4501729
12;270000;270000;24300;2883050;4206;266892;1238;1870;1238;0,46%;266892;1723,15738606
13;270000;270000;24300;2883050;4206;266883;1247;1870;1247;0,47%;266883;1490,066993
14;270000;270000;24300;2883050;4206;266665;1465;1870;1465;0,55%;266665;1440,35499096
15;270000;270000;24300;2883050;4206;266884;1246;1870;1246;0,46%;266884;1357,40399122
16;270000;270000;24300;2883050;4206;267004;1126;1870;1126;0,42%;267004;1267,00369191
17;270000;270000;24300;2883050;4206;266913;1217;1870;1217;0,45%;266913;1077,55338216
18;270000;270000;24300;2883050;4206;266654;1476;1870;1476;0,55%;266654;1079,76365495
19;270000;270000;24300;2883050;4206;266699;1431;1870;1431;0,53%;266699;1078,32275796
20;270000;270000;24300;2883050;4206;266900;1230;1870;1230;0,46%;266900;1356,47803497
21;270000;270000;24300;2883050;4206;266819;1311;1870;1311;0,49%;266819;1235,58810616
22;270000;270000;24300;2883050;4206;266800;1330;1870;1330;0,50%;266800;1125,04755592
23;270000;270000;24300;2883050;4206;266786;1344;1870;1344;0,50%;266786;1515,07379985
24;270000;270000;24300;2883050;4206;266925;1205;1870;1205;0,45%;266925;1295,45893693
25;270000;270000;24300;2883050;4206;266881;1249;1870;1249;0,47%;266881;1341,21033192
26;270000;270000;24300;2883050;4206;266937;1193;1870;1193;0,44%;266937;1160,68063307
27;270000;270000;24300;2883050;4206;266934;1196;1870;1196;0,45%;266934;1155,88409185
28;270000;270000;24300;2883050;4206;266777;1353;1870;1353;0,50%;266777;1288,64755797
29;270000;270000;24300;2883050;4206;266778;1352;1870;1352;0,50%;266778;1445,71534896
;;;;;;;;;;0,48%;;
;;;;;;;;;;0,03%;;
