nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;850;;;443,79
;;;;;;;;;12;;;48,54
0;167000;101088;8960;918476;4429;94912;847;5329;847;0,52%;160824;409,011497021
1;167000;101088;8960;918476;4429;94909;850;5329;850;0,53%;160821;420,551784992
2;167000;101088;8960;918476;4429;94895;864;5329;864;0,53%;160807;360,860686064
3;167000;101088;8960;918476;4429;94899;860;5329;860;0,53%;160811;479,335725069
4;167000;101088;8960;918476;4429;94896;863;5329;863;0,53%;160808;483,285214186
5;167000;101088;8960;918476;4429;94883;876;5329;876;0,54%;160795;423,557921171
6;167000;101088;8960;918476;4429;94898;861;5329;861;0,53%;160810;365,524076223
7;167000;101088;8960;918476;4429;94920;839;5329;839;0,52%;160832;423,707339048
8;167000;101088;8960;918476;4429;94921;838;5329;838;0,52%;160833;363,540276051
9;167000;101088;8960;918476;4429;94907;852;5329;852;0,53%;160819;427,038908005
10;167000;101088;8960;918476;4429;94912;847;5329;847;0,52%;160824;420,505241156
11;167000;101088;8960;918476;4429;94901;858;5329;858;0,53%;160813;485,804384947
12;167000;101088;8960;918476;4429;94918;841;5329;841;0,52%;160830;481,337985992
13;167000;101088;8960;918476;4429;94909;850;5329;850;0,53%;160821;425,7248981
14;167000;101088;8960;918476;4429;94921;838;5329;838;0,52%;160833;429,351303101
15;167000;101088;8960;918476;4429;94893;866;5329;866;0,54%;160805;491,248256922
16;167000;101088;8960;918476;4429;94916;843;5329;843;0,52%;160828;485,143738031
17;167000;101088;8960;918476;4429;94920;839;5329;839;0,52%;160832;491,812108994
18;167000;101088;8960;918476;4429;94911;848;5329;848;0,52%;160823;546,18876195
19;167000;101088;8960;918476;4429;94916;843;5329;843;0,52%;160828;424,914613962
20;167000;101088;8960;918476;4429;94931;828;5329;828;0,51%;160843;427,728441
21;167000;101088;8960;918476;4429;94909;850;5329;850;0,53%;160821;427,437235117
22;167000;101088;8960;918476;4429;94917;842;5329;842;0,52%;160829;430,170845985
23;167000;101088;8960;918476;4429;94892;867;5329;867;0,54%;160804;489,01630497
24;167000;101088;8960;918476;4429;94909;850;5329;850;0,53%;160821;429,685764074
25;167000;101088;8960;918476;4429;94894;865;5329;865;0,54%;160806;489,79818821
26;167000;101088;8960;918476;4429;94899;860;5329;860;0,53%;160811;371,61303401
27;167000;101088;8960;918476;4429;94898;861;5329;861;0,53%;160810;430,937695026
28;167000;101088;8960;918476;4429;94923;836;5329;836;0,52%;160835;549,585549831
29;167000;101088;8960;918476;4429;94927;832;5329;832;0,51%;160839;429,230957985
;;;;;;;;;;0,53%;;
;;;;;;;;;;0,01%;;
