nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;950;;;370,48
;;;;;;;;;11;;;60,38
0;187500;56404;4970;502233;2636;51820;967;3617;967;0,53%;182916;412,959125042
1;187500;56404;4970;502233;2636;51842;945;3617;945;0,51%;182938;377,538188934
2;187500;56404;4970;502233;2636;51807;980;3617;980;0,53%;182903;299,650391102
3;187500;56404;4970;502233;2636;51851;936;3617;936;0,51%;182947;373,255972147
4;187500;56404;4970;502233;2636;51838;949;3617;949;0,52%;182934;298,22249794
5;187500;56404;4970;502233;2636;51831;956;3617;956;0,52%;182927;299,019834995
6;187500;56404;4970;502233;2636;51854;933;3617;933;0,51%;182950;445,569672823
7;187500;56404;4970;502233;2636;51845;942;3617;942;0,51%;182941;367,824419022
8;187500;56404;4970;502233;2636;51843;944;3617;944;0,51%;182939;407,191006899
9;187500;56404;4970;502233;2636;51835;952;3617;952;0,52%;182931;295,692964077
10;187500;56404;4970;502233;2636;51841;946;3617;946;0,51%;182937;342,325151205
11;187500;56404;4970;502233;2636;51822;965;3617;965;0,52%;182918;483,545479059
12;187500;56404;4970;502233;2636;51839;948;3617;948;0,52%;182935;298,09820509
13;187500;56404;4970;502233;2636;51840;947;3617;947;0,52%;182936;376,533840179
14;187500;56404;4970;502233;2636;51827;960;3617;960;0,52%;182923;410,871642113
15;187500;56404;4970;502233;2636;51831;956;3617;956;0,52%;182927;293,857023954
16;187500;56404;4970;502233;2636;51851;936;3617;936;0,51%;182947;486,349477053
17;187500;56404;4970;502233;2636;51844;943;3617;943;0,51%;182940;372,963162899
18;187500;56404;4970;502233;2636;51828;959;3617;959;0,52%;182924;373,845927954
19;187500;56404;4970;502233;2636;51845;942;3617;942;0,51%;182941;296,011260986
20;187500;56404;4970;502233;2636;51839;948;3617;948;0,52%;182935;408,873163939
21;187500;56404;4970;502233;2636;51833;954;3617;954;0,52%;182929;484,384608984
22;187500;56404;4970;502233;2636;51846;941;3617;941;0,51%;182942;411,007934809
23;187500;56404;4970;502233;2636;51851;936;3617;936;0,51%;182947;299,991014957
24;187500;56404;4970;502233;2636;51842;945;3617;945;0,51%;182938;407,721858978
25;187500;56404;4970;502233;2636;51846;941;3617;941;0,51%;182942;298,465198994
26;187500;56404;4970;502233;2636;51820;967;3617;967;0,53%;182916;335,433369875
27;187500;56404;4970;502233;2636;51843;944;3617;944;0,51%;182939;411,634367943
28;187500;56404;4970;502233;2636;51835;952;3617;952;0,52%;182931;370,639434814
29;187500;56404;4970;502233;2636;51834;953;3617;953;0,52%;182930;374,834142923
;;;;;;;;;;0,52%;;
;;;;;;;;;;0,01%;;
