nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1676;;;547,64
;;;;;;;;;56;;;39,37
0;270000;113850;10197;1199909;2977;110385;1725;1740;1725;0,64%;266535;544,412050962
1;270000;113850;10197;1199909;2977;110366;1744;1740;1744;0,65%;266516;541,984805107
2;270000;113850;10197;1199909;2977;110390;1720;1740;1720;0,64%;266540;549,351930141
3;270000;113850;10197;1199909;2977;110485;1625;1740;1625;0,61%;266635;592,270520926
4;270000;113850;10197;1199909;2977;110402;1708;1740;1708;0,64%;266552;542,461807013
5;270000;113850;10197;1199909;2977;110448;1662;1740;1662;0,62%;266598;549,305552006
6;270000;113850;10197;1199909;2977;110407;1703;1740;1703;0,63%;266557;545,93215394
7;270000;113850;10197;1199909;2977;110419;1691;1740;1691;0,63%;266569;547,243715048
8;270000;113850;10197;1199909;2977;110395;1715;1740;1715;0,64%;266545;542,204229116
9;270000;113850;10197;1199909;2977;110324;1786;1740;1786;0,67%;266474;540,239169121
10;270000;113850;10197;1199909;2977;110440;1670;1740;1670;0,62%;266590;540,200037003
11;270000;113850;10197;1199909;2977;110428;1682;1740;1682;0,63%;266578;498,690598011
12;270000;113850;10197;1199909;2977;110388;1722;1740;1722;0,64%;266538;543,298491955
13;270000;113850;10197;1199909;2977;110414;1696;1740;1696;0,63%;266564;455,93309617
14;270000;113850;10197;1199909;2977;110440;1670;1740;1670;0,62%;266590;543,802508116
15;270000;113850;10197;1199909;2977;110400;1710;1740;1710;0,64%;266550;547,137929916
16;270000;113850;10197;1199909;2977;110572;1538;1740;1538;0,57%;266722;677,897773027
17;270000;113850;10197;1199909;2977;110388;1722;1740;1722;0,64%;266538;546,744278193
18;270000;113850;10197;1199909;2977;110423;1687;1740;1687;0,63%;266573;545,316864014
19;270000;113850;10197;1199909;2977;110467;1643;1740;1643;0,61%;266617;542,186629057
20;270000;113850;10197;1199909;2977;110459;1651;1740;1651;0,62%;266609;539,275403023
21;270000;113850;10197;1199909;2977;110562;1548;1740;1548;0,58%;266712;637,804055929
22;270000;113850;10197;1199909;2977;110451;1659;1740;1659;0,62%;266601;545,319565058
23;270000;113850;10197;1199909;2977;110465;1645;1740;1645;0,61%;266615;549,81623888
24;270000;113850;10197;1199909;2977;110423;1687;1740;1687;0,63%;266573;545,828412056
25;270000;113850;10197;1199909;2977;110460;1650;1740;1650;0,62%;266610;500,200118065
26;270000;113850;10197;1199909;2977;110476;1634;1740;1634;0,61%;266626;544,65913105
27;270000;113850;10197;1199909;2977;110365;1745;1740;1745;0,65%;266515;589,944396019
28;270000;113850;10197;1199909;2977;110442;1668;1740;1668;0,62%;266592;496,441689014
29;270000;113850;10197;1199909;2977;110540;1570;1740;1570;0,59%;266690;543,38398385
;;;;;;;;;;0,62%;;
;;;;;;;;;;0,02%;;
