nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;253;;;298,05
;;;;;;;;;25;;;58,66
0;154700;18760;1680;184919;906;18091;246;423;246;0,16%;154031;360,598081112
1;154700;18760;1680;184919;906;18089;248;423;248;0,16%;154029;271,853358984
2;154700;18760;1680;184919;906;18072;265;423;265;0,17%;154012;271,112483978
3;154700;18760;1680;184919;906;18073;264;423;264;0,17%;154013;296,851152182
4;154700;18760;1680;184919;906;18081;256;423;256;0,17%;154021;272,730572939
5;154700;18760;1680;184919;906;18075;262;423;262;0,17%;154015;286,327232122
6;154700;18760;1680;184919;906;18102;235;423;235;0,15%;154042;462,546576023
7;154700;18760;1680;184919;906;18123;214;423;214;0,14%;154063;384,268963099
8;154700;18760;1680;184919;906;18111;226;423;226;0,15%;154051;372,379162073
9;154700;18760;1680;184919;906;18125;212;423;212;0,14%;154065;302,398333073
10;154700;18760;1680;184919;906;18060;277;423;277;0,18%;154000;277,215700865
11;154700;18760;1680;184919;906;18095;242;423;242;0,16%;154035;298,733972073
12;154700;18760;1680;184919;906;18082;255;423;255;0,17%;154022;345,530076027
13;154700;18760;1680;184919;906;18095;242;423;242;0,16%;154035;266,268743992
14;154700;18760;1680;184919;906;18056;281;423;281;0,18%;153996;257,061426163
15;154700;18760;1680;184919;906;18072;265;423;265;0,17%;154012;245,532187939
16;154700;18760;1680;184919;906;18054;283;423;283;0,18%;153994;356,366775036
17;154700;18760;1680;184919;906;18117;220;423;220;0,14%;154057;215,150892973
18;154700;18760;1680;184919;906;18064;273;423;273;0,18%;154004;396,192770004
19;154700;18760;1680;184919;906;18037;300;423;300;0,19%;153977;352,462065935
20;154700;18760;1680;184919;906;18098;239;423;239;0,15%;154038;237,700099945
21;154700;18760;1680;184919;906;18058;279;423;279;0,18%;153998;264,876042128
22;154700;18760;1680;184919;906;18075;262;423;262;0,17%;154015;267,312118053
23;154700;18760;1680;184919;906;18085;252;423;252;0,16%;154025;247,915680885
24;154700;18760;1680;184919;906;18108;229;423;229;0,15%;154048;296,313251019
25;154700;18760;1680;184919;906;18081;256;423;256;0,17%;154021;342,266245842
26;154700;18760;1680;184919;906;18084;253;423;253;0,16%;154024;255,211420059
27;154700;18760;1680;184919;906;18079;258;423;258;0,17%;154019;268,014583111
28;154700;18760;1680;184919;906;18044;293;423;293;0,19%;153984;204,93198514
29;154700;18760;1680;184919;906;18146;191;423;191;0,12%;154086;265,381405115
;;;;;;;;;;0,16%;;
;;;;;;;;;;0,02%;;
