nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;747;;;471,56
;;;;;;;;;14;;;100,21
0;270000;51182;4512;527824;2457;49154;760;1268;760;0,28%;267972;455,289880991
1;270000;51182;4512;527824;2457;49166;748;1268;748;0,28%;267984;626,475297928
2;270000;51182;4512;527824;2457;49153;761;1268;761;0,28%;267971;676,20798111
3;270000;51182;4512;527824;2457;49196;718;1268;718;0,27%;268014;636,684659004
4;270000;51182;4512;527824;2457;49163;751;1268;751;0,28%;267981;520,622490883
5;270000;51182;4512;527824;2457;49170;744;1268;744;0,28%;267988;625,38411808
6;270000;51182;4512;527824;2457;49157;757;1268;757;0,28%;267975;728,045998096
7;270000;51182;4512;527824;2457;49157;757;1268;757;0,28%;267975;488,237528086
8;270000;51182;4512;527824;2457;49146;768;1268;768;0,29%;267964;362,751617908
9;270000;51182;4512;527824;2457;49152;762;1268;762;0,28%;267970;481,180358171
10;270000;51182;4512;527824;2457;49161;753;1268;753;0,28%;267979;480,188098907
11;270000;51182;4512;527824;2457;49173;741;1268;741;0,28%;267991;438,532889843
12;270000;51182;4512;527824;2457;49181;733;1268;733;0,27%;267999;398,527934074
13;270000;51182;4512;527824;2457;49154;760;1268;760;0,28%;267972;357,537416935
14;270000;51182;4512;527824;2457;49182;732;1268;732;0,27%;268000;436,502015114
15;270000;51182;4512;527824;2457;49142;772;1268;772;0,29%;267960;365,281975031
16;270000;51182;4512;527824;2457;49161;753;1268;753;0,28%;267979;480,286998987
17;270000;51182;4512;527824;2457;49160;754;1268;754;0,28%;267978;444,784621954
18;270000;51182;4512;527824;2457;49152;762;1268;762;0,28%;267970;363,296879053
19;270000;51182;4512;527824;2457;49166;748;1268;748;0,28%;267984;483,45580411
20;270000;51182;4512;527824;2457;49150;764;1268;764;0,28%;267968;365,73406601
21;270000;51182;4512;527824;2457;49183;731;1268;731;0,27%;268001;454,130492926
22;270000;51182;4512;527824;2457;49182;732;1268;732;0,27%;268000;363,23408103
23;270000;51182;4512;527824;2457;49176;738;1268;738;0,27%;267994;402,655064821
24;270000;51182;4512;527824;2457;49195;719;1268;719;0,27%;268013;441,910254002
25;270000;51182;4512;527824;2457;49160;754;1268;754;0,28%;267978;441,770620108
26;270000;51182;4512;527824;2457;49187;727;1268;727;0,27%;268005;360,962515116
27;270000;51182;4512;527824;2457;49175;739;1268;739;0,27%;267993;476,667053938
28;270000;51182;4512;527824;2457;49174;740;1268;740;0,28%;267992;440,689479113
29;270000;51182;4512;527824;2457;49181;733;1268;733;0,27%;267999;549,822450876
;;;;;;;;;;0,28%;;
;;;;;;;;;;0,01%;;
