nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;317;;;394,45
;;;;;;;;;14;;;53,43
0;152640;52920;4704;481240;2739;47840;314;4766;314;0,21%;147560;397,640379906
1;152640;52920;4704;481240;2739;47849;305;4766;305;0,21%;147569;437,140040159
2;152640;52920;4704;481240;2739;47856;298;4766;298;0,20%;147576;316,87105608
3;152640;52920;4704;481240;2739;47846;308;4766;308;0,21%;147566;437,042579174
4;152640;52920;4704;481240;2739;47851;303;4766;303;0,20%;147571;356,07259202
5;152640;52920;4704;481240;2739;47855;299;4766;299;0,20%;147575;437,002099037
6;152640;52920;4704;481240;2739;47842;312;4766;312;0,21%;147562;318,405102015
7;152640;52920;4704;481240;2739;47830;324;4766;324;0,22%;147550;397,807092905
8;152640;52920;4704;481240;2739;47797;357;4766;357;0,24%;147517;356,025248051
9;152640;52920;4704;481240;2739;47843;311;4766;311;0,21%;147563;317,877936125
10;152640;52920;4704;481240;2739;47855;299;4766;299;0,20%;147575;433,715708971
11;152640;52920;4704;481240;2739;47832;322;4766;322;0,22%;147552;431,134168863
12;152640;52920;4704;481240;2739;47839;315;4766;315;0,21%;147559;392,332982063
13;152640;52920;4704;481240;2739;47836;318;4766;318;0,22%;147556;314,50960207
14;152640;52920;4704;481240;2739;47842;312;4766;312;0,21%;147562;391,119113922
15;152640;52920;4704;481240;2739;47802;352;4766;352;0,24%;147522;316,772145987
16;152640;52920;4704;481240;2739;47826;328;4766;328;0,22%;147546;393,328478098
17;152640;52920;4704;481240;2739;47842;312;4766;312;0,21%;147562;472,364455938
18;152640;52920;4704;481240;2739;47834;320;4766;320;0,22%;147554;444,443397999
19;152640;52920;4704;481240;2739;47824;330;4766;330;0,22%;147544;393,984165907
20;152640;52920;4704;481240;2739;47823;331;4766;331;0,22%;147543;312,615236998
21;152640;52920;4704;481240;2739;47847;307;4766;307;0,21%;147567;397,336029053
22;152640;52920;4704;481240;2739;47839;315;4766;315;0,21%;147559;470,555538893
23;152640;52920;4704;481240;2739;47832;322;4766;322;0,22%;147552;392,495495081
24;152640;52920;4704;481240;2739;47862;292;4766;292;0,20%;147582;429,615310907
25;152640;52920;4704;481240;2739;47830;324;4766;324;0,22%;147550;391,049117088
26;152640;52920;4704;481240;2739;47832;322;4766;322;0,22%;147552;314,025706053
27;152640;52920;4704;481240;2739;47840;314;4766;314;0,21%;147560;471,837873936
28;152640;52920;4704;481240;2739;47835;319;4766;319;0,22%;147555;432,039079905
29;152640;52920;4704;481240;2739;47829;325;4766;325;0,22%;147549;466,421535969
;;;;;;;;;;0,21%;;
;;;;;;;;;;0,01%;;
