nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1669;;;633,84
;;;;;;;;;22;;;187,16
0;190323;75348;6642;721396;2937;73813;1535;0;1666;0,88%;188657;444,349638939
1;190323;75348;6642;721396;2937;73810;1538;0;1669;0,88%;188654;394,809150934
2;190323;75348;6642;721396;2937;73837;1511;0;1642;0,86%;188681;354,754964113
3;190323;75348;6642;721396;2937;73812;1536;0;1667;0,88%;188656;436,832245111
4;190323;75348;6642;721396;2937;73791;1557;0;1688;0,89%;188635;444,64423418
5;190323;75348;6642;721396;2937;73789;1559;0;1690;0,89%;188633;440,859999895
6;190323;75348;6642;721396;2937;73813;1535;0;1666;0,88%;188657;527,801910162
7;190323;75348;6642;721396;2937;73826;1522;0;1653;0,87%;188670;441,018375158
8;190323;75348;6642;721396;2937;73789;1559;0;1690;0,89%;188633;481,391253948
9;190323;75348;6642;721396;2937;73822;1526;0;1657;0,87%;188666;483,499090195
10;190323;75348;6642;721396;2937;73809;1539;0;1670;0,88%;188653;446,723907948
11;190323;75348;6642;721396;2937;73812;1536;0;1667;0,88%;188656;398,78472805
12;190323;75348;6642;721396;2937;73797;1551;0;1682;0,88%;188641;525,562387943
13;190323;75348;6642;721396;2937;73814;1534;0;1665;0,87%;188658;759,477061033
14;190323;75348;6642;721396;2937;73759;1589;0;1720;0,90%;188603;786,153882027
15;190323;75348;6642;721396;2937;73828;1520;0;1651;0,87%;188672;883,740689993
16;190323;75348;6642;721396;2937;73793;1555;0;1686;0,89%;188637;801,049427032
17;190323;75348;6642;721396;2937;73855;1493;0;1624;0,85%;188699;798,764867067
18;190323;75348;6642;721396;2937;73833;1515;0;1646;0,86%;188677;985,345238924
19;190323;75348;6642;721396;2937;73820;1528;0;1659;0,87%;188664;803,726572037
20;190323;75348;6642;721396;2937;73802;1546;0;1677;0,88%;188646;963,257637978
21;190323;75348;6642;721396;2937;73796;1552;0;1683;0,88%;188640;829,968765974
22;190323;75348;6642;721396;2937;73791;1557;0;1688;0,89%;188635;663,71981287
23;190323;75348;6642;721396;2937;73834;1514;0;1645;0,86%;188678;615,901726007
24;190323;75348;6642;721396;2937;73836;1512;0;1643;0,86%;188680;670,408139944
25;190323;75348;6642;721396;2937;73837;1511;0;1642;0,86%;188681;620,765280008
26;190323;75348;6642;721396;2937;73813;1535;0;1666;0,88%;188657;650,179003
27;190323;75348;6642;721396;2937;73769;1579;0;1710;0,90%;188613;788,405491114
28;190323;75348;6642;721396;2937;73784;1564;0;1695;0,89%;188628;846,749481916
29;190323;75348;6642;721396;2937;73824;1524;0;1655;0,87%;188668;726,569880009
;;;;;;;;;;0,88%;;
;;;;;;;;;;0,01%;;
