nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1086;;;532,11
;;;;;;;;;29;;;135,41
0;270000;103251;9234;1004260;3880;100945;1064;1242;1064;0,40%;267694;700,159412861
1;270000;103251;9234;1004260;3880;100941;1068;1242;1068;0,40%;267690;789,379456043
2;270000;103251;9234;1004260;3880;100894;1115;1242;1115;0,41%;267643;631,692554951
3;270000;103251;9234;1004260;3880;100951;1058;1242;1058;0,39%;267700;803,138544083
4;270000;103251;9234;1004260;3880;100925;1084;1242;1084;0,40%;267674;724,677325964
5;270000;103251;9234;1004260;3880;100852;1157;1242;1157;0,43%;267601;614,488959074
6;270000;103251;9234;1004260;3880;100930;1079;1242;1079;0,40%;267679;589,223868132
7;270000;103251;9234;1004260;3880;100952;1057;1242;1057;0,39%;267701;580,311730862
8;270000;103251;9234;1004260;3880;100955;1054;1242;1054;0,39%;267704;554,478935003
9;270000;103251;9234;1004260;3880;100925;1084;1242;1084;0,40%;267674;560,011982918
10;270000;103251;9234;1004260;3880;100951;1058;1242;1058;0,39%;267700;782,584568024
11;270000;103251;9234;1004260;3880;100934;1075;1242;1075;0,40%;267683;634,086584091
12;270000;103251;9234;1004260;3880;100958;1051;1242;1051;0,39%;267707;520,588217974
13;270000;103251;9234;1004260;3880;100897;1112;1242;1112;0,41%;267646;376,700237989
14;270000;103251;9234;1004260;3880;100959;1050;1242;1050;0,39%;267708;476,946146011
15;270000;103251;9234;1004260;3880;100968;1041;1242;1041;0,39%;267717;532,729276896
16;270000;103251;9234;1004260;3880;100939;1070;1242;1070;0,40%;267688;373,722918034
17;270000;103251;9234;1004260;3880;100925;1084;1242;1084;0,40%;267674;371,441118002
18;270000;103251;9234;1004260;3880;100900;1109;1242;1109;0,41%;267649;476,479197025
19;270000;103251;9234;1004260;3880;100916;1093;1242;1093;0,41%;267665;477,189738035
20;270000;103251;9234;1004260;3880;100887;1122;1242;1122;0,42%;267636;520,318065882
21;270000;103251;9234;1004260;3880;100924;1085;1242;1085;0,40%;267673;369,16348815
22;270000;103251;9234;1004260;3880;100904;1105;1242;1105;0,41%;267653;472,797673941
23;270000;103251;9234;1004260;3880;100871;1138;1242;1138;0,42%;267620;363,140753031
24;270000;103251;9234;1004260;3880;100927;1082;1242;1082;0,40%;267676;573,653759956
25;270000;103251;9234;1004260;3880;100922;1087;1242;1087;0,40%;267671;365,38397789
26;270000;103251;9234;1004260;3880;100925;1084;1242;1084;0,40%;267674;369,913172007
27;270000;103251;9234;1004260;3880;100937;1072;1242;1072;0,40%;267686;470,601413965
28;270000;103251;9234;1004260;3880;100863;1146;1242;1146;0,43%;267612;367,003195047
29;270000;103251;9234;1004260;3880;100912;1097;1242;1097;0,41%;267661;521,232542992
;;;;;;;;;;0,40%;;
;;;;;;;;;;0,01%;;
