nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;294;;;225,96
;;;;;;;;;2;;;36,22
0;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;198,653481007
1;187500;50190;4473;480203;2351;47839;292;2143;292;0,16%;185065;275,151005983
2;187500;50190;4473;480203;2351;47836;295;2143;295;0,16%;185062;317,29996109
3;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;223,995251894
4;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;267,898481131
5;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;198,978138924
6;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;239,521657944
7;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;192,834522009
8;187500;50190;4473;480203;2351;47834;297;2143;297;0,16%;185060;237,502120018
9;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;237,49738884
10;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;190,363168955
11;187500;50190;4473;480203;2351;47833;298;2143;298;0,16%;185059;239,067762136
12;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;237,560463905
13;187500;50190;4473;480203;2351;47839;292;2143;292;0,16%;185065;261,678511143
14;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;190,679725885
15;187500;50190;4473;480203;2351;47840;291;2143;291;0,16%;185066;191,59453702
16;187500;50190;4473;480203;2351;47841;290;2143;290;0,16%;185067;190,920660019
17;187500;50190;4473;480203;2351;47836;295;2143;295;0,16%;185062;262,463984013
18;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;213,509125233
19;187500;50190;4473;480203;2351;47839;292;2143;292;0,16%;185065;192,62024498
20;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;237,675844908
21;187500;50190;4473;480203;2351;47833;298;2143;298;0,16%;185059;191,961216927
22;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;238,249748945
23;187500;50190;4473;480203;2351;47839;292;2143;292;0,16%;185065;191,749145985
24;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;237,694242001
25;187500;50190;4473;480203;2351;47839;292;2143;292;0,16%;185065;191,240233183
26;187500;50190;4473;480203;2351;47833;298;2143;298;0,16%;185059;237,613181114
27;187500;50190;4473;480203;2351;47838;293;2143;293;0,16%;185064;190,968733072
28;187500;50190;4473;480203;2351;47837;294;2143;294;0,16%;185063;309,406582832
29;187500;50190;4473;480203;2351;47833;298;2143;298;0,16%;185059;192,583256006
;;;;;;;;;;0,16%;;
;;;;;;;;;;0,00%;;
