nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;2266;;;826,29
;;;;;;;;;110;;;176,05
0;307200;186172;16640;1913332;4891;181277;2299;2596;2299;0,75%;302305;755,565910101
1;307200;186172;16640;1913332;4891;181106;2470;2596;2470;0,81%;302134;794,274242878
2;307200;186172;16640;1913332;4891;181170;2406;2596;2406;0,79%;302198;787,676522017
3;307200;186172;16640;1913332;4891;181308;2268;2596;2268;0,74%;302336;761,809109926
4;307200;186172;16640;1913332;4891;181217;2359;2596;2359;0,77%;302245;762,611690044
5;307200;186172;16640;1913332;4891;181198;2378;2596;2378;0,78%;302226;762,132340908
6;307200;186172;16640;1913332;4891;181297;2279;2596;2279;0,75%;302325;838,057111979
7;307200;186172;16640;1913332;4891;181521;2055;2596;2055;0,67%;302549;834,755296946
8;307200;186172;16640;1913332;4891;181344;2232;2596;2232;0,73%;302372;759,317117929
9;307200;186172;16640;1913332;4891;181422;2154;2596;2154;0,71%;302450;838,365711927
10;307200;186172;16640;1913332;4891;181421;2155;2596;2155;0,71%;302449;758,861173868
11;307200;186172;16640;1913332;4891;181305;2271;2596;2271;0,75%;302333;981,130588055
12;307200;186172;16640;1913332;4891;181338;2238;2596;2238;0,73%;302366;771,955658913
13;307200;186172;16640;1913332;4891;181379;2197;2596;2197;0,72%;302407;766,397387028
14;307200;186172;16640;1913332;4891;181312;2264;2596;2264;0,74%;302340;754,648777962
15;307200;186172;16640;1913332;4891;181205;2371;2596;2371;0,78%;302233;684,836011887
16;307200;186172;16640;1913332;4891;181342;2234;2596;2234;0,73%;302370;686,254245996
17;307200;186172;16640;1913332;4891;181149;2427;2596;2427;0,80%;302177;687,556243896
18;307200;186172;16640;1913332;4891;181364;2212;2596;2212;0,73%;302392;679,887870789
19;307200;186172;16640;1913332;4891;181307;2269;2596;2269;0,74%;302335;679,795157909
20;307200;186172;16640;1913332;4891;181293;2283;2596;2283;0,75%;302321;742,644132853
21;307200;186172;16640;1913332;4891;181173;2403;2596;2403;0,79%;302201;677,008188009
22;307200;186172;16640;1913332;4891;181270;2306;2596;2306;0,76%;302298;748,283766031
23;307200;186172;16640;1913332;4891;181248;2328;2596;2328;0,76%;302276;679,783921003
24;307200;186172;16640;1913332;4891;181418;2158;2596;2158;0,71%;302446;885,794811964
25;307200;186172;16640;1913332;4891;181501;2075;2596;2075;0,68%;302529;1511,60876012
26;307200;186172;16640;1913332;4891;181216;2360;2596;2360;0,77%;302244;1093,46261907
27;307200;186172;16640;1913332;4891;181472;2104;2596;2104;0,69%;302500;1050,96856308
28;307200;186172;16640;1913332;4891;181501;2075;2596;2075;0,68%;302529;1025,39811516
29;307200;186172;16640;1913332;4891;181221;2355;2596;2355;0,77%;302249;1027,78809714
;;;;;;;;;;0,74%;;
;;;;;;;;;;0,04%;;
