nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1120;;;313,01
;;;;;;;;;7;;;47,76
0;270000;40817;3570;382414;1919;38536;1112;1169;1112;0,41%;267719;385,865916967
1;270000;40817;3570;382414;1919;38526;1122;1169;1122;0,42%;267709;343,809410095
2;270000;40817;3570;382414;1919;38519;1129;1169;1129;0,42%;267702;369,529824972
3;270000;40817;3570;382414;1919;38523;1125;1169;1125;0,42%;267706;343,793924093
4;270000;40817;3570;382414;1919;38531;1117;1169;1117;0,42%;267714;293,604250908
5;270000;40817;3570;382414;1919;38522;1126;1169;1126;0,42%;267705;319,687977076
6;270000;40817;3570;382414;1919;38514;1134;1169;1134;0,42%;267697;273,277338028
7;270000;40817;3570;382414;1919;38528;1120;1169;1120;0,42%;267711;295,099048853
8;270000;40817;3570;382414;1919;38535;1113;1169;1113;0,41%;267718;228,054055929
9;270000;40817;3570;382414;1919;38527;1121;1169;1121;0,42%;267710;273,64825201
10;270000;40817;3570;382414;1919;38523;1125;1169;1125;0,42%;267706;229,491091967
11;270000;40817;3570;382414;1919;38542;1106;1169;1106;0,41%;267725;382,449330091
12;270000;40817;3570;382414;1919;38525;1123;1169;1123;0,42%;267708;339,969111919
13;270000;40817;3570;382414;1919;38523;1125;1169;1125;0,42%;267706;274,493229866
14;270000;40817;3570;382414;1919;38527;1121;1169;1121;0,42%;267710;319,534587145
15;270000;40817;3570;382414;1919;38541;1107;1169;1107;0,41%;267724;295,05430007
16;270000;40817;3570;382414;1919;38522;1126;1169;1126;0,42%;267705;294,245090961
17;270000;40817;3570;382414;1919;38524;1124;1169;1124;0,42%;267707;297,324167013
18;270000;40817;3570;382414;1919;38521;1127;1169;1127;0,42%;267704;363,440865993
19;270000;40817;3570;382414;1919;38527;1121;1169;1121;0,42%;267710;296,711889982
20;270000;40817;3570;382414;1919;38530;1118;1169;1118;0,42%;267713;329,147446156
21;270000;40817;3570;382414;1919;38530;1118;1169;1118;0,42%;267713;275,698857069
22;270000;40817;3570;382414;1919;38524;1124;1169;1124;0,42%;267707;406,337547064
23;270000;40817;3570;382414;1919;38531;1117;1169;1117;0,42%;267714;386,718423843
24;270000;40817;3570;382414;1919;38533;1115;1169;1115;0,41%;267716;227,612246037
25;270000;40817;3570;382414;1919;38535;1113;1169;1113;0,41%;267718;363,684234142
26;270000;40817;3570;382414;1919;38522;1126;1169;1126;0,42%;267705;295,180620909
27;270000;40817;3570;382414;1919;38528;1120;1169;1120;0,42%;267711;297,585449219
28;270000;40817;3570;382414;1919;38523;1125;1169;1125;0,42%;267706;293,638477802
29;270000;40817;3570;382414;1919;38541;1107;1169;1107;0,41%;267724;295,750993013
;;;;;;;;;;0,42%;;
;;;;;;;;;;0,00%;;
