nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;573;;;356,11
;;;;;;;;;107;;;89,23
0;187500;29700;2640;252767;1280;27390;451;1859;451;0,24%;185190;475,458293915
1;187500;29700;2640;252767;1280;27304;537;1859;537;0,29%;185104;428,066158056
2;187500;29700;2640;252767;1280;27331;510;1859;510;0,27%;185131;513,678383112
3;187500;29700;2640;252767;1280;27370;471;1859;471;0,25%;185170;464,437349081
4;187500;29700;2640;252767;1280;26964;877;1859;877;0,47%;184764;257,028951168
5;187500;29700;2640;252767;1280;27235;606;1859;606;0,33%;185035;244,019893169
6;187500;29700;2640;252767;1280;27347;494;1859;494;0,27%;185147;379,165900946
7;187500;29700;2640;252767;1280;27355;486;1859;486;0,26%;185155;407,135668039
8;187500;29700;2640;252767;1280;27241;600;1859;600;0,32%;185041;282,553444147
9;187500;29700;2640;252767;1280;27341;500;1859;500;0,27%;185141;402,298208952
10;187500;29700;2640;252767;1280;27182;659;1859;659;0,35%;184982;285,859555006
11;187500;29700;2640;252767;1280;27266;575;1859;575;0,31%;185066;361,489624977
12;187500;29700;2640;252767;1280;27141;700;1859;700;0,38%;184941;227,765571117
13;187500;29700;2640;252767;1280;27325;516;1859;516;0,28%;185125;225,301833153
14;187500;29700;2640;252767;1280;27303;538;1859;538;0,29%;185103;347,755283833
15;187500;29700;2640;252767;1280;27225;616;1859;616;0,33%;185025;324,002660036
16;187500;29700;2640;252767;1280;26911;930;1859;930;0,50%;184711;237,847985983
17;187500;29700;2640;252767;1280;27340;501;1859;501;0,27%;185140;426,131294012
18;187500;29700;2640;252767;1280;27286;555;1859;555;0,30%;185086;314,301898956
19;187500;29700;2640;252767;1280;27288;553;1859;553;0,30%;185088;322,085299969
20;187500;29700;2640;252767;1280;27281;560;1859;560;0,30%;185081;361,750276089
21;187500;29700;2640;252767;1280;27334;507;1859;507;0,27%;185134;390,496731997
22;187500;29700;2640;252767;1280;27312;529;1859;529;0,28%;185112;552,563189983
23;187500;29700;2640;252767;1280;27297;544;1859;544;0,29%;185097;294,184337139
24;187500;29700;2640;252767;1280;27329;512;1859;512;0,28%;185129;321,020596027
25;187500;29700;2640;252767;1280;27321;520;1859;520;0,28%;185121;496,024557114
26;187500;29700;2640;252767;1280;27198;643;1859;643;0,35%;184998;264,261158943
27;187500;29700;2640;252767;1280;27219;622;1859;622;0,34%;185019;310,180175066
28;187500;29700;2640;252767;1280;27339;502;1859;502;0,27%;185139;427,618994951
29;187500;29700;2640;252767;1280;27264;577;1859;577;0,31%;185064;338,732600927
;;;;;;;;;;0,31%;;
;;;;;;;;;;0,06%;;
