nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1156;;;448,46
;;;;;;;;;10;;;84,81
0;187500;93922;8370;868360;4883;85127;1174;7621;1174;0,65%;178705;278,607599974
1;187500;93922;8370;868360;4883;85141;1160;7621;1160;0,64%;178719;397,847239017
2;187500;93922;8370;868360;4883;85137;1164;7621;1164;0,65%;178715;548,034245968
3;187500;93922;8370;868360;4883;85147;1154;7621;1154;0,64%;178725;631,227545023
4;187500;93922;8370;868360;4883;85134;1167;7621;1167;0,65%;178712;545,720374823
5;187500;93922;8370;868360;4883;85142;1159;7621;1159;0,64%;178720;553,460371971
6;187500;93922;8370;868360;4883;85162;1139;7621;1139;0,63%;178740;360,007078886
7;187500;93922;8370;868360;4883;85146;1155;7621;1155;0,64%;178724;497,068027973
8;187500;93922;8370;868360;4883;85143;1158;7621;1158;0,64%;178721;362,723859072
9;187500;93922;8370;868360;4883;85157;1144;7621;1144;0,64%;178735;378,375624895
10;187500;93922;8370;868360;4883;85160;1141;7621;1141;0,63%;178738;341,331180096
11;187500;93922;8370;868360;4883;85149;1152;7621;1152;0,64%;178727;496,296824932
12;187500;93922;8370;868360;4883;85144;1157;7621;1157;0,64%;178722;445,615483999
13;187500;93922;8370;868360;4883;85154;1147;7621;1147;0,64%;178732;300,262746096
14;187500;93922;8370;868360;4883;85135;1166;7621;1166;0,65%;178713;476,773921013
15;187500;93922;8370;868360;4883;85145;1156;7621;1156;0,64%;178723;440,922461033
16;187500;93922;8370;868360;4883;85142;1159;7621;1159;0,64%;178720;401,989848137
17;187500;93922;8370;868360;4883;85149;1152;7621;1152;0,64%;178727;423,09533596
18;187500;93922;8370;868360;4883;85152;1149;7621;1149;0,64%;178730;446,743562937
19;187500;93922;8370;868360;4883;85122;1179;7621;1179;0,66%;178700;479,558416843
20;187500;93922;8370;868360;4883;85145;1156;7621;1156;0,64%;178723;571,338125944
21;187500;93922;8370;868360;4883;85133;1168;7621;1168;0,65%;178711;468,512706995
22;187500;93922;8370;868360;4883;85156;1145;7621;1145;0,64%;178734;333,334789038
23;187500;93922;8370;868360;4883;85152;1149;7621;1149;0,64%;178730;488,963098049
24;187500;93922;8370;868360;4883;85142;1159;7621;1159;0,64%;178720;476,870046854
25;187500;93922;8370;868360;4883;85148;1153;7621;1153;0,64%;178726;451,34920001
26;187500;93922;8370;868360;4883;85153;1148;7621;1148;0,64%;178731;449,66328001
27;187500;93922;8370;868360;4883;85134;1167;7621;1167;0,65%;178712;548,896203995
28;187500;93922;8370;868360;4883;85145;1156;7621;1156;0,64%;178723;494,989092112
29;187500;93922;8370;868360;4883;85155;1146;7621;1146;0,64%;178733;364,161164999
;;;;;;;;;;0,64%;;
;;;;;;;;;;0,01%;;
