nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1617;;;701,84
;;;;;;;;;19;;;64,16
0;307200;227154;20241;2326134;7120;223021;1634;2499;1634;0,54%;303067;776,455401182
1;307200;227154;20241;2326134;7120;223075;1580;2499;1580;0,52%;303121;756,447960854
2;307200;227154;20241;2326134;7120;223040;1615;2499;1615;0,53%;303086;712,386085987
3;307200;227154;20241;2326134;7120;223019;1636;2499;1636;0,54%;303065;573,221894979
4;307200;227154;20241;2326134;7120;223021;1634;2499;1634;0,54%;303067;819,710491896
5;307200;227154;20241;2326134;7120;223044;1611;2499;1611;0,53%;303090;700,45085907
6;307200;227154;20241;2326134;7120;223067;1588;2499;1588;0,52%;303113;741,537431002
7;307200;227154;20241;2326134;7120;223038;1617;2499;1617;0,53%;303084;646,171403885
8;307200;227154;20241;2326134;7120;223033;1622;2499;1622;0,53%;303079;651,517742157
9;307200;227154;20241;2326134;7120;223048;1607;2499;1607;0,53%;303094;742,566211939
10;307200;227154;20241;2326134;7120;223035;1620;2499;1620;0,53%;303081;737,217412949
11;307200;227154;20241;2326134;7120;223030;1625;2499;1625;0,53%;303076;743,459927797
12;307200;227154;20241;2326134;7120;223015;1640;2499;1640;0,54%;303061;742,794482946
13;307200;227154;20241;2326134;7120;223057;1598;2499;1598;0,52%;303103;654,982296944
14;307200;227154;20241;2326134;7120;223052;1603;2499;1603;0,53%;303098;742,381642103
15;307200;227154;20241;2326134;7120;223038;1617;2499;1617;0,53%;303084;662,375746965
16;307200;227154;20241;2326134;7120;223042;1613;2499;1613;0,53%;303088;651,338932991
17;307200;227154;20241;2326134;7120;223042;1613;2499;1613;0,53%;303088;562,957335949
18;307200;227154;20241;2326134;7120;223044;1611;2499;1611;0,53%;303090;653,246599913
19;307200;227154;20241;2326134;7120;223017;1638;2499;1638;0,54%;303063;737,80409193
20;307200;227154;20241;2326134;7120;223016;1639;2499;1639;0,54%;303062;741,928930044
21;307200;227154;20241;2326134;7120;223065;1590;2499;1590;0,52%;303111;740,508276939
22;307200;227154;20241;2326134;7120;223086;1569;2499;1569;0,51%;303132;740,99147296
23;307200;227154;20241;2326134;7120;223044;1611;2499;1611;0,53%;303090;743,319678068
24;307200;227154;20241;2326134;7120;223021;1634;2499;1634;0,54%;303067;649,31001997
25;307200;227154;20241;2326134;7120;223041;1614;2499;1614;0,53%;303087;560,462181091
26;307200;227154;20241;2326134;7120;223027;1628;2499;1628;0,53%;303073;742,28436017
27;307200;227154;20241;2326134;7120;223003;1652;2499;1652;0,54%;303049;651,559015036
28;307200;227154;20241;2326134;7120;223040;1615;2499;1615;0,53%;303086;738,353336811
29;307200;227154;20241;2326134;7120;223029;1626;2499;1626;0,53%;303075;737,54074192
;;;;;;;;;;0,53%;;
;;;;;;;;;;0,01%;;
