nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;270000;47288;4235;488474;1425;46303;153;832;575;268593;389,962260008
1;270000;47288;4235;488474;1425;46297;159;832;611;268557;344,253041983
2;270000;47288;4235;488474;1425;46301;155;832;565;268603;468,107547045
3;270000;47288;4235;488474;1425;46298;158;832;565;268603;476,48605895
4;270000;47288;4235;488474;1425;46300;156;832;602;268566;410,73850894
5;270000;47288;4235;488474;1425;46299;157;832;611;268557;352,938545942
6;270000;47288;4235;488474;1425;46313;143;832;564;268604;303,27381897
7;270000;47288;4235;488474;1425;46309;147;832;591;268577;319,572804928
8;270000;47288;4235;488474;1425;46301;155;832;602;268566;320,653100014
9;270000;47288;4235;488474;1425;46299;157;832;594;268574;411,878497124
10;270000;47288;4235;488474;1425;46307;149;832;606;268562;427,364624977
11;270000;47288;4235;488474;1425;46302;154;832;573;268595;303,629558086
12;270000;47288;4235;488474;1425;46307;149;832;568;268600;358,359859943
13;270000;47288;4235;488474;1425;46294;162;832;582;268586;324,248745918
14;270000;47288;4235;488474;1425;46303;153;832;553;268615;411,909246922
15;270000;47288;4235;488474;1425;46298;158;832;576;268592;359,417513132
16;270000;47288;4235;488474;1425;46304;152;832;571;268597;450,077670813
17;270000;47288;4235;488474;1425;46300;156;832;562;268606;324,192431927
18;270000;47288;4235;488474;1425;46304;152;832;560;268608;526,384361029
19;270000;47288;4235;488474;1425;46302;154;832;569;268599;386,674956083
20;270000;47288;4235;488474;1425;46305;151;832;567;268601;352,058079958
21;270000;47288;4235;488474;1425;46304;152;832;616;268552;559,74693799
22;270000;47288;4235;488474;1425;46300;156;832;593;268575;366,618520975
23;270000;47288;4235;488474;1425;46301;155;832;607;268561;371,629930973
24;270000;47288;4235;488474;1425;46301;155;832;577;268591;447,719905853
25;270000;47288;4235;488474;1425;46299;157;832;574;268594;445,960627079
26;270000;47288;4235;488474;1425;46300;156;832;582;268586;425,545892
27;270000;47288;4235;488474;1425;46305;151;832;585;268583;372,159353971
28;270000;47288;4235;488474;1425;46302;154;832;645;268523;446,116483927
29;270000;47288;4235;488474;1425;46307;149;832;577;268591;370,495839119
