nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;324;;;250,77
;;;;;;;;;4;;;2,3
0;166500;53000;4740;535302;2822;50004;327;2669;327;0,20%;163504;252,351754904
1;166500;53000;4740;535302;2822;50014;317;2669;317;0,19%;163514;251,699310064
2;166500;53000;4740;535302;2822;50011;320;2669;320;0,20%;163511;249,672893047
3;166500;53000;4740;535302;2822;50008;323;2669;323;0,20%;163508;249,602319002
4;166500;53000;4740;535302;2822;50010;321;2669;321;0,20%;163510;251,228609085
5;166500;53000;4740;535302;2822;50004;327;2669;327;0,20%;163504;249,64227891
6;166500;53000;4740;535302;2822;50006;325;2669;325;0,20%;163506;250,401292086
7;166500;53000;4740;535302;2822;50006;325;2669;325;0,20%;163506;249,5341959
8;166500;53000;4740;535302;2822;50008;323;2669;323;0,20%;163508;248,425851822
9;166500;53000;4740;535302;2822;50011;320;2669;320;0,20%;163511;249,247147083
10;166500;53000;4740;535302;2822;50012;319;2669;319;0,19%;163512;249,808146954
11;166500;53000;4740;535302;2822;50003;328;2669;328;0,20%;163503;248,388812065
12;166500;53000;4740;535302;2822;50001;330;2669;330;0,20%;163501;250,556545019
13;166500;53000;4740;535302;2822;50002;329;2669;329;0,20%;163502;252,124254942
14;166500;53000;4740;535302;2822;50008;323;2669;323;0,20%;163508;253,044456005
15;166500;53000;4740;535302;2822;50011;320;2669;320;0,20%;163511;251,141126871
16;166500;53000;4740;535302;2822;50003;328;2669;328;0,20%;163503;249,486386061
17;166500;53000;4740;535302;2822;50008;323;2669;323;0,20%;163508;260,752661943
18;166500;53000;4740;535302;2822;50004;327;2669;327;0,20%;163504;248,90783
19;166500;53000;4740;535302;2822;50009;322;2669;322;0,20%;163509;249,24909997
20;166500;53000;4740;535302;2822;49997;334;2669;334;0,20%;163497;249,809507132
21;166500;53000;4740;535302;2822;50010;321;2669;321;0,20%;163510;250,987606049
22;166500;53000;4740;535302;2822;50004;327;2669;327;0,20%;163504;251,36850214
23;166500;53000;4740;535302;2822;50005;326;2669;326;0,20%;163505;252,085978031
24;166500;53000;4740;535302;2822;50009;322;2669;322;0,20%;163509;251,992165089
25;166500;53000;4740;535302;2822;50002;329;2669;329;0,20%;163502;252,274279118
26;166500;53000;4740;535302;2822;50005;326;2669;326;0,20%;163505;251,079668045
27;166500;53000;4740;535302;2822;50009;322;2669;322;0,20%;163509;250,719671011
28;166500;53000;4740;535302;2822;50011;320;2669;320;0,20%;163511;248,124615908
29;166500;53000;4740;535302;2822;50009;322;2669;322;0,20%;163509;249,303416014
;;;;;;;;;;0,20%;;
;;;;;;;;;;0,00%;;
