nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;600;;;330,58
;;;;;;;;;43;;;58,57
0;187500;50778;4455;473030;2166;48460;632;1686;632;0,34%;185182;398,402872086
1;187500;50778;4455;473030;2166;48436;656;1686;656;0,35%;185158;435,867606163
2;187500;50778;4455;473030;2166;48524;568;1686;568;0,31%;185246;354,675235987
3;187500;50778;4455;473030;2166;48433;659;1686;659;0,35%;185155;393,269622087
4;187500;50778;4455;473030;2166;48496;596;1686;596;0,32%;185218;452,900543928
5;187500;50778;4455;473030;2166;48481;611;1686;611;0,33%;185203;340,392849922
6;187500;50778;4455;473030;2166;48433;659;1686;659;0,35%;185155;303,649124146
7;187500;50778;4455;473030;2166;48456;636;1686;636;0,34%;185178;381,426064968
8;187500;50778;4455;473030;2166;48552;540;1686;540;0,29%;185274;289,156153917
9;187500;50778;4455;473030;2166;48441;651;1686;651;0,35%;185163;286,144408941
10;187500;50778;4455;473030;2166;48492;600;1686;600;0,32%;185214;301,331413984
11;187500;50778;4455;473030;2166;48480;612;1686;612;0,33%;185202;311,581950903
12;187500;50778;4455;473030;2166;48514;578;1686;578;0,31%;185236;285,100651026
13;187500;50778;4455;473030;2166;48559;533;1686;533;0,29%;185281;285,559826136
14;187500;50778;4455;473030;2166;48451;641;1686;641;0,34%;185173;307,83959794
15;187500;50778;4455;473030;2166;48529;563;1686;563;0,30%;185251;360,247641087
16;187500;50778;4455;473030;2166;48523;569;1686;569;0,31%;185245;262,252222061
17;187500;50778;4455;473030;2166;48477;615;1686;615;0,33%;185199;394,173007011
18;187500;50778;4455;473030;2166;48524;568;1686;568;0,31%;185246;412,610557079
19;187500;50778;4455;473030;2166;48546;546;1686;546;0,29%;185268;287,368520021
20;187500;50778;4455;473030;2166;48544;548;1686;548;0,29%;185266;258,293011904
21;187500;50778;4455;473030;2166;48577;515;1686;515;0,28%;185299;257,95715189
22;187500;50778;4455;473030;2166;48511;581;1686;581;0,31%;185233;258,57697916
23;187500;50778;4455;473030;2166;48514;578;1686;578;0,31%;185236;391,055294991
24;187500;50778;4455;473030;2166;48450;642;1686;642;0,35%;185172;284,104223967
25;187500;50778;4455;473030;2166;48499;593;1686;593;0,32%;185221;260,424518824
26;187500;50778;4455;473030;2166;48512;580;1686;580;0,31%;185234;271,582084894
27;187500;50778;4455;473030;2166;48443;649;1686;649;0,35%;185165;364,019525051
28;187500;50778;4455;473030;2166;48424;668;1686;668;0,36%;185146;363,984780073
29;187500;50778;4455;473030;2166;48475;617;1686;617;0,33%;185197;363,337263107
;;;;;;;;;;0,32%;;
;;;;;;;;;;0,02%;;
