;nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;;255;;;325,56
;;;;;;;;;;7;;;75,82
;0;187500;22400;1976;212305;1154;21104;252;1044;252;0,14%;186204;278,525155067
;1;187500;22400;1976;212305;1154;21098;258;1044;258;0,14%;186198;323,080456018
;2;187500;22400;1976;212305;1154;21096;260;1044;260;0,14%;186196;238,701724052
;3;187500;22400;1976;212305;1154;21106;250;1044;250;0,13%;186206;211,313112974
;4;187500;22400;1976;212305;1154;21101;255;1044;255;0,14%;186201;351,906533003
;5;187500;22400;1976;212305;1154;21106;250;1044;250;0,13%;186206;392,139345169
;6;187500;22400;1976;212305;1154;21107;249;1044;249;0,13%;186207;225,09513092
;7;187500;22400;1976;212305;1154;21097;259;1044;259;0,14%;186197;307,26741004
;8;187500;22400;1976;212305;1154;21092;264;1044;264;0,14%;186192;251,314928055
;9;187500;22400;1976;212305;1154;21104;252;1044;252;0,14%;186204;208,806097984
;10;187500;22400;1976;212305;1154;21105;251;1044;251;0,13%;186205;237,863624811
;11;187500;22400;1976;212305;1154;21106;250;1044;250;0,13%;186206;347,873363972
;12;187500;22400;1976;212305;1154;21101;255;1044;255;0,14%;186201;226,046502113
;13;187500;22400;1976;212305;1154;21080;276;1044;276;0,15%;186180;210,822487831
;14;187500;22400;1976;212305;1154;21105;251;1044;251;0,13%;186205;335,147871971
;15;187500;22400;1976;212305;1154;21107;249;1044;249;0,13%;186207;437,53186202
;16;187500;22400;1976;212305;1154;21106;250;1044;250;0,13%;186206;299,007911921
;17;187500;22400;1976;212305;1154;21103;253;1044;253;0,14%;186203;368,611685038
;18;187500;22400;1976;212305;1154;21094;262;1044;262;0,14%;186194;358,366116047
;19;187500;22400;1976;212305;1154;21100;256;1044;256;0,14%;186200;370,544775963
;20;187500;22400;1976;212305;1154;21105;251;1044;251;0,13%;186205;382,125659943
;21;187500;22400;1976;212305;1154;21087;269;1044;269;0,14%;186187;442,046644211
;22;187500;22400;1976;212305;1154;21103;253;1044;253;0,14%;186203;403,649591923
;23;187500;22400;1976;212305;1154;21089;267;1044;267;0,14%;186189;334,778450966
;24;187500;22400;1976;212305;1154;21108;248;1044;248;0,13%;186208;371,73333621
;25;187500;22400;1976;212305;1154;21093;263;1044;263;0,14%;186193;428,65770483
;26;187500;22400;1976;212305;1154;21102;254;1044;254;0,14%;186202;317,172353029
;27;187500;22400;1976;212305;1154;21104;252;1044;252;0,14%;186204;399,056881905
;28;187500;22400;1976;212305;1154;21100;256;1044;256;0,14%;186200;261,913961172
;29;187500;22400;1976;212305;1154;21108;248;1044;248;0,13%;186208;445,599231958
;;;;;;;;;;;0,14%;;
;;;;;;;;;;;0,00%;;
