nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;837;;;570,21
;;;;;;;;;38;;;116,35
0;307200;112252;9954;1154833;3273;110147;836;1269;836;0,27%;305095;563,404868126
1;307200;112252;9954;1154833;3273;110146;837;1269;837;0,27%;305094;570,810075998
2;307200;112252;9954;1154833;3273;110172;811;1269;811;0,27%;305120;606,213128805
3;307200;112252;9954;1154833;3273;110147;836;1269;836;0,27%;305095;402,798367977
4;307200;112252;9954;1154833;3273;110148;835;1269;835;0,27%;305096;464,913784027
5;307200;112252;9954;1154833;3273;110117;866;1269;866;0,28%;305065;577,065474987
6;307200;112252;9954;1154833;3273;110139;844;1269;844;0,28%;305087;641,94670701
7;307200;112252;9954;1154833;3273;110150;833;1269;833;0,27%;305098;538,513607025
8;307200;112252;9954;1154833;3273;110157;826;1269;826;0,27%;305105;598,486017942
9;307200;112252;9954;1154833;3273;110075;908;1269;908;0,30%;305023;406,197978973
10;307200;112252;9954;1154833;3273;110093;890;1269;890;0,29%;305041;536,508998871
11;307200;112252;9954;1154833;3273;110124;859;1269;859;0,28%;305072;534,565688848
12;307200;112252;9954;1154833;3273;110161;822;1269;822;0,27%;305109;493,848487854
13;307200;112252;9954;1154833;3273;110192;791;1269;791;0,26%;305140;537,419121027
14;307200;112252;9954;1154833;3273;110164;819;1269;819;0,27%;305112;537,495144844
15;307200;112252;9954;1154833;3273;110192;791;1269;791;0,26%;305140;582,718435049
16;307200;112252;9954;1154833;3273;110133;850;1269;850;0,28%;305081;409,299015999
17;307200;112252;9954;1154833;3273;110089;894;1269;894;0,29%;305037;449,793194056
18;307200;112252;9954;1154833;3273;110168;815;1269;815;0,27%;305116;492,294883013
19;307200;112252;9954;1154833;3273;110185;798;1269;798;0,26%;305133;582,874922991
20;307200;112252;9954;1154833;3273;110215;768;1269;768;0,25%;305163;406,329768896
21;307200;112252;9954;1154833;3273;110140;843;1269;843;0,28%;305088;581,015268087
22;307200;112252;9954;1154833;3273;110104;879;1269;879;0,29%;305052;735,373338938
23;307200;112252;9954;1154833;3273;110078;905;1269;905;0,30%;305026;517,44738102
24;307200;112252;9954;1154833;3273;110131;852;1269;852;0,28%;305079;549,850736856
25;307200;112252;9954;1154833;3273;110236;747;1269;747;0,24%;305184;824,772580862
26;307200;112252;9954;1154833;3273;110179;804;1269;804;0,26%;305127;863,762619972
27;307200;112252;9954;1154833;3273;110138;845;1269;845;0,28%;305086;691,501689911
28;307200;112252;9954;1154833;3273;110137;846;1269;846;0,28%;305085;734,795682907
29;307200;112252;9954;1154833;3273;110116;867;1269;867;0,28%;305064;674,367451906
;;;;;;;;;;0,27%;;
;;;;;;;;;;0,01%;;
