nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;893;;;283,51
;;;;;;;;;9;;;30,13
0;236000;65514;5777;637870;3124;63022;891;1601;891;0,38%;233508;319,320261002
1;236000;65514;5777;637870;3124;63011;902;1601;902;0,38%;233497;428,716132164
2;236000;65514;5777;637870;3124;63010;903;1601;903;0,39%;233496;325,286057949
3;236000;65514;5777;637870;3124;63028;885;1601;885;0,38%;233514;276,921976805
4;236000;65514;5777;637870;3124;63028;885;1601;885;0,38%;233514;280,558821917
5;236000;65514;5777;637870;3124;63030;883;1601;883;0,38%;233516;274,868109941
6;236000;65514;5777;637870;3124;63024;889;1601;889;0,38%;233510;271,502770901
7;236000;65514;5777;637870;3124;63018;895;1601;895;0,38%;233504;276,824164867
8;236000;65514;5777;637870;3124;63010;903;1601;903;0,39%;233496;274,105190992
9;236000;65514;5777;637870;3124;63031;882;1601;882;0,38%;233517;276,240068197
10;236000;65514;5777;637870;3124;63019;894;1601;894;0,38%;233505;272,723240852
11;236000;65514;5777;637870;3124;63023;890;1601;890;0,38%;233509;276,57508707
12;236000;65514;5777;637870;3124;63023;890;1601;890;0,38%;233509;273,967144012
13;236000;65514;5777;637870;3124;63030;883;1601;883;0,38%;233516;273,892355919
14;236000;65514;5777;637870;3124;63006;907;1601;907;0,39%;233492;274,492591143
15;236000;65514;5777;637870;3124;63014;899;1601;899;0,38%;233500;269,520190001
16;236000;65514;5777;637870;3124;63024;889;1601;889;0,38%;233510;274,181016207
17;236000;65514;5777;637870;3124;63030;883;1601;883;0,38%;233516;277,867039919
18;236000;65514;5777;637870;3124;63026;887;1601;887;0,38%;233512;271,900920153
19;236000;65514;5777;637870;3124;63015;898;1601;898;0,38%;233501;276,32137084
20;236000;65514;5777;637870;3124;63029;884;1601;884;0,38%;233515;273,515166998
21;236000;65514;5777;637870;3124;63025;888;1601;888;0,38%;233511;273,87102294
22;236000;65514;5777;637870;3124;63033;880;1601;880;0,38%;233519;278,99261713
23;236000;65514;5777;637870;3124;63023;890;1601;890;0,38%;233509;274,660278082
24;236000;65514;5777;637870;3124;63011;902;1601;902;0,38%;233497;277,971228123
25;236000;65514;5777;637870;3124;62993;920;1601;920;0,39%;233479;272,734435081
26;236000;65514;5777;637870;3124;63023;890;1601;890;0,38%;233509;270,955439806
27;236000;65514;5777;637870;3124;63005;908;1601;908;0,39%;233491;274,701621056
28;236000;65514;5777;637870;3124;63017;896;1601;896;0,38%;233503;272,637979984
29;236000;65514;5777;637870;3124;63016;897;1601;897;0,38%;233502;289,567260027
;;;;;;;;;;0,38%;;
;;;;;;;;;;0,00%;;
