nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;162;;;323,41
;;;;;;;;;10;;;79,8
0;187500;25149;2220;202323;1199;23793;176;1180;176;0,09%;186144;211,901827097
1;187500;25149;2220;202323;1199;23808;161;1180;161;0,09%;186159;237,962048054
2;187500;25149;2220;202323;1199;23808;161;1180;161;0,09%;186159;313,336219072
3;187500;25149;2220;202323;1199;23815;154;1180;154;0,08%;186166;234,792752028
4;187500;25149;2220;202323;1199;23813;156;1180;156;0,08%;186164;224,439538956
5;187500;25149;2220;202323;1199;23791;178;1180;178;0,10%;186142;225,136698008
6;187500;25149;2220;202323;1199;23811;158;1180;158;0,08%;186162;250,310497999
7;187500;25149;2220;202323;1199;23814;155;1180;155;0,08%;186165;261,059367895
8;187500;25149;2220;202323;1199;23795;174;1180;174;0,09%;186146;313,716219187
9;187500;25149;2220;202323;1199;23801;168;1180;168;0,09%;186152;288,483112097
10;187500;25149;2220;202323;1199;23800;169;1180;169;0,09%;186151;288,320180893
11;187500;25149;2220;202323;1199;23792;177;1180;177;0,09%;186143;465,881229162
12;187500;25149;2220;202323;1199;23806;163;1180;163;0,09%;186157;330,330562115
13;187500;25149;2220;202323;1199;23823;146;1180;146;0,08%;186174;383,909074068
14;187500;25149;2220;202323;1199;23809;160;1180;160;0,09%;186160;351,210280895
15;187500;25149;2220;202323;1199;23795;174;1180;174;0,09%;186146;349,427369833
16;187500;25149;2220;202323;1199;23810;159;1180;159;0,09%;186161;368,128065109
17;187500;25149;2220;202323;1199;23811;158;1180;158;0,08%;186162;422,316899061
18;187500;25149;2220;202323;1199;23796;173;1180;173;0,09%;186147;404,543591976
19;187500;25149;2220;202323;1199;23819;150;1180;150;0,08%;186170;377,610959053
20;187500;25149;2220;202323;1199;23815;154;1180;154;0,08%;186166;477,924326897
21;187500;25149;2220;202323;1199;23812;157;1180;157;0,08%;186163;455,548125982
22;187500;25149;2220;202323;1199;23818;151;1180;151;0,08%;186169;247,673433065
23;187500;25149;2220;202323;1199;23822;147;1180;147;0,08%;186173;327,990196943
24;187500;25149;2220;202323;1199;23826;143;1180;143;0,08%;186177;460,094897032
25;187500;25149;2220;202323;1199;23816;153;1180;153;0,08%;186167;247,812632084
26;187500;25149;2220;202323;1199;23795;174;1180;174;0,09%;186146;348,49642992
27;187500;25149;2220;202323;1199;23791;178;1180;178;0,10%;186142;257,022377968
28;187500;25149;2220;202323;1199;23802;167;1180;167;0,09%;186153;286,937542915
29;187500;25149;2220;202323;1199;23816;153;1180;153;0,08%;186167;289,986788988
;;;;;;;;;;0,09%;;
;;;;;;;;;;0,01%;;
